y,x1,x2,x3,x4,x5,x6,x7
0,0,63 ,0,0,13 ,0,0
0,0,60 ,0,0,12 ,0,0
0,1,60 ,1,0,13 ,0,0
0,0,63 ,0,0,10 ,0,0
0,0,54 ,0,0,9 ,0,0
0,1,62 ,1,0,13 ,1,0
0,0,59 ,0,0,5 ,1,0
0,0,59 ,0,0,11 ,0,0
0,0,65 ,0,0,15 ,0,0
0,0,59 ,0,0.101,13 ,0,0
0,0,60 ,0,0.12,12 ,0,0
1,1,62 ,1,0.124,12 ,0,0
0,0,64 ,0,0.2,11 ,1,0
0,0,59 ,0,0.2,11 ,1,0
0,0,58 ,0,0.24,9 ,0,0
0,0,62 ,0,0.396,15 ,0,0
1,0,66 ,1,0.4,14 ,0,0
1,0,64 ,1,0.5,17 ,0,0
0,0,68 ,0,0.528,9 ,0,1
1,0,70 ,1,0.6,10 ,0,0
0,0,60 ,0,0.7,12 ,1,0
0,0,59 ,0,0.7,10 ,1,0
0,0,66 ,1,0.768,12 ,0,0
0,0,61 ,1,0.78,9 ,0,0
0,0,69 ,0,0.912,5 ,0,0
0,0,67 ,0,1,9 ,1,0
0,0,64 ,0,1.02,7 ,1,0
0,0,66 ,0,1.116,5 ,0,1
0,0,66 ,1,1.248,1 ,0,0
0,0,62 ,0,1.26,6 ,1,0
0,0,64 ,0,1.34,14 ,0,0
0,0,69 ,1,1.344,11 ,0,0
0,0,65 ,1,1.544,4 ,0,0
0,0,66 ,0,1.68,3 ,0,1
0,0,66 ,0,1.824,1 ,1,0
0,0,66 ,0,2.06,13 ,0,0
0,1,69 ,0,2.136,13 ,0,1
0,0,64 ,0,2.304,13 ,0,0
0,0,60 ,1,2.34,7 ,0,1
0,0,66 ,0,2.364,4 ,0,1
0,1,72 ,0,2.436,9 ,1,0
0,0,66 ,0,2.725,11 ,0,0
0,0,66 ,0,2.76,2 ,0,1
0,1,66 ,0,2.8,11 ,0,0
0,1,68 ,0,2.802,11 ,0,0
0,0,57 ,0,2.88,4 ,0,1
0,0,64 ,0,3.05,8 ,0,0
0,0,67 ,1,3.154,7 ,0,1
0,0,59 ,0,3.18,14 ,0,0
0,1,70 ,0,3.36,5 ,1,0
0,0,68 ,1,3.36,7 ,1,0
0,0,61 ,0,3.456,12 ,0,0
0,0,66 ,0,3.576,11 ,0,0
0,0,60 ,0,3.6,13 ,0,0
0,0,64 ,0,3.648,3 ,1,1
0,0,66 ,1,3.672,18 ,1,0
0,1,67 ,0,3.72,13 ,0,1
0,0,58 ,0,3.804,11 ,0,0
1,0,59 ,1,3.804,13 ,1,0
0,1,67 ,1,3.816,12 ,0,0
0,0,54 ,0,3.84,13 ,1,0
0,0,59 ,0,3.84,9 ,1,0
0,1,68 ,1,3.912,5 ,0,1
0,1,67 ,0,3.96,12 ,0,0
0,0,68 ,1,4.032,10 ,0,0
0,1,66 ,1,4.056,12 ,0,0
0,1,65 ,1,4.056,13 ,1,0
0,0,65 ,0,4.188,9 ,0,0
1,1,67 ,1,4.248,13 ,0,0
0,1,68 ,1,4.32,4 ,1,1
1,1,65 ,1,4.489,13 ,0,0
0,1,66 ,0,4.5,9 ,0,0
0,0,63 ,0,4.524,13 ,1,0
0,1,66 ,0,4.572,12 ,0,0
0,0,61 ,0,4.632,9 ,0,0
0,1,67 ,1,4.716,14 ,0,0
0,1,63 ,1,4.764,13 ,0,0
0,0,60 ,0,4.8,12 ,0,0
0,0,69 ,1,4.8,6 ,0,0
1,0,63 ,0,4.896,8 ,1,0
0,1,67 ,0,4.958,9 ,0,0
0,0,67 ,1,4.964,10 ,0,0
0,1,68 ,1,4.98,12 ,0,0
1,0,67 ,0,4.992,12 ,0,0
0,0,61 ,0,5.044,11 ,0,0
0,1,60 ,1,5.108,9 ,0,0
0,0,61 ,1,5.186,12 ,0,0
0,0,66 ,1,5.254,11 ,0,0
0,0,68 ,0,5.304,5 ,0,0
0,1,67 ,1,5.328,3 ,0,1
0,0,63 ,0,5.328,8 ,0,0
0,0,76 ,0,5.4,1 ,1,0
0,0,66 ,0,5.4,11 ,0,0
0,1,69 ,0,5.424,13 ,0,0
0,0,66 ,0,5.461,12 ,0,0
0,0,62 ,0,5.532,5 ,0,0
0,0,67 ,1,5.544,9 ,0,0
0,0,69 ,0,5.58,12 ,0,0
0,0,60 ,1,5.604,12 ,0,0
0,0,68 ,0,5.664,14 ,0,0
0,1,69 ,1,5.664,18 ,0,0
0,1,69 ,1,5.669,18 ,1,0
1,1,64 ,0,5.688,10 ,1,0
0,1,67 ,0,5.724,8 ,0,0
0,1,66 ,0,5.736,11 ,0,0
0,1,69 ,0,5.76,8 ,1,0
0,0,68 ,1,5.82,16 ,0,0
1,0,68 ,1,5.82,15 ,1,0
0,1,69 ,1,5.842,8 ,0,0
0,1,67 ,1,5.856,12 ,0,0
1,0,68 ,1,5.876,15 ,1,0
0,1,69 ,0,5.904,1 ,0,0
0,1,80 ,1,5.952,0 ,1,0
0,0,63 ,0,5.952,8 ,1,0
0,1,68 ,1,5.976,14 ,0,0
0,0,66 ,0,5.988,10 ,0,0
0,1,69 ,0,5.988,12 ,0,0
1,0,60 ,0,6,12 ,1,0
0,0,65 ,0,6,2 ,0,0
1,0,63 ,0,6,13 ,0,0
0,0,69 ,1,6,10 ,0,0
0,0,60 ,0,6,11 ,1,0
0,0,63 ,1,6,12 ,0,0
0,1,62 ,1,6,12 ,0,0
0,1,60 ,0,6,9 ,1,0
0,0,64 ,0,6.012,5 ,1,1
0,1,73 ,0,6.012,1 ,1,1
0,1,69 ,1,6.036,9 ,1,1
0,0,66 ,1,6.036,13 ,0,0
0,0,59 ,0,6.108,12 ,0,0
0,0,66 ,0,6.12,10 ,0,0
0,0,65 ,0,6.12,12 ,0,0
0,0,65 ,0,6.144,9 ,0,0
0,0,62 ,0,6.144,4 ,0,0
0,0,61 ,0,6.144,10 ,0,1
0,0,65 ,0,6.156,2 ,0,1
0,1,68 ,0,6.172,13 ,0,0
0,0,68 ,0,6.192,7 ,0,0
0,0,63 ,1,6.24,6 ,0,0
0,1,68 ,0,6.264,15 ,0,0
0,0,67 ,0,6.264,2 ,0,1
0,0,68 ,0,6.288,11 ,0,0
0,1,66 ,0,6.324,12 ,0,0
0,0,62 ,0,6.336,12 ,0,0
0,0,68 ,0,6.336,8 ,0,0
0,0,60 ,0,6.336,5 ,0,1
0,1,66 ,1,6.336,11 ,0,1
0,0,66 ,0,6.348,7 ,0,0
0,0,67 ,0,6.36,3 ,0,1
0,1,68 ,1,6.36,6 ,1,1
0,0,66 ,1,6.372,6 ,0,1
0,0,67 ,1,6.384,6 ,0,1
0,1,67 ,0,6.384,7 ,0,0
0,0,69 ,0,6.384,7 ,0,0
0,0,69 ,0,6.384,10 ,0,0
0,0,68 ,1,6.384,11 ,0,0
0,0,69 ,0,6.384,10 ,0,0
0,0,63 ,0,6.384,11 ,0,0
0,0,64 ,0,6.384,1 ,0,0
0,0,60 ,0,6.384,2 ,0,0
0,1,67 ,0,6.396,9 ,0,0
0,0,60 ,0,6.42,11 ,0,0
0,1,68 ,0,6.456,8 ,0,1
0,0,67 ,0,6.456,2 ,0,1
0,0,64 ,1,6.464,8 ,0,0
0,1,66 ,0,6.471,18 ,1,1
0,0,61 ,0,6.504,13 ,0,0
0,0,68 ,0,6.528,12 ,0,0
0,1,58 ,1,6.528,11 ,0,0
0,0,68 ,0,6.54,12 ,0,0
0,0,69 ,0,6.552,9 ,0,0
0,1,67 ,0,6.564,7 ,0,0
0,0,63 ,0,6.585,10 ,0,0
0,0,62 ,0,6.588,11 ,0,0
0,1,65 ,1,6.6,6 ,0,0
0,0,62 ,0,6.612,7 ,0,0
0,0,66 ,0,6.624,5 ,0,0
0,1,65 ,1,6.628,13 ,0,0
0,1,67 ,0,6.648,12 ,1,1
0,1,67 ,1,6.66,9 ,0,0
0,1,67 ,1,6.66,11 ,0,0
0,0,65 ,1,6.66,14 ,0,0
0,0,65 ,0,6.672,12 ,0,0
0,1,69 ,1,6.672,9 ,0,0
0,1,68 ,1,6.68,12 ,1,0
0,1,67 ,0,6.682,13 ,0,0
0,0,68 ,0,6.696,3 ,0,0
0,0,66 ,0,6.706,11 ,0,0
0,1,70 ,1,6.708,12 ,0,0
0,0,62 ,1,6.72,12 ,0,0
0,0,68 ,0,6.756,8 ,0,1
0,0,63 ,0,6.756,11 ,0,0
0,1,66 ,0,6.768,12 ,0,0
0,1,67 ,0,6.768,13 ,0,0
0,1,66 ,0,6.792,7 ,1,1
0,1,69 ,1,6.794,10 ,0,0
0,0,66 ,1,6.8,3 ,0,1
0,0,61 ,0,6.804,12 ,0,0
0,1,69 ,0,6.804,11 ,0,0
0,1,71 ,0,6.84,4 ,1,1
0,1,68 ,0,6.892,10 ,0,0
0,1,69 ,1,6.924,8 ,0,0
0,1,67 ,0,6.924,10 ,0,0
0,0,59 ,1,6.957,8 ,1,0
0,0,62 ,0,6.972,11 ,1,0
0,1,68 ,0,6.972,4 ,0,1
0,0,56 ,0,6.972,10 ,1,0
0,0,69 ,1,7,14 ,0,0
0,1,68 ,1,7.032,12 ,0,0
0,1,68 ,0,7.152,10 ,0,0
0,1,65 ,0,7.188,9 ,0,0
0,1,68 ,0,7.19,13 ,0,0
1,1,64 ,0,7.2,18 ,0,0
0,1,67 ,1,7.2,9 ,1,1
0,0,61 ,0,7.2,12 ,0,0
0,0,60 ,1,7.2,12 ,0,1
1,1,69 ,1,7.2,12 ,1,1
0,0,63 ,0,7.2,11 ,0,0
0,0,59 ,1,7.244,15 ,0,0
0,1,67 ,0,7.248,13 ,0,0
0,1,67 ,1,7.328,10 ,0,0
0,1,71 ,0,7.344,11 ,0,0
0,1,68 ,0,7.38,6 ,1,0
0,0,66 ,0,7.392,7 ,0,1
0,0,65 ,0,7.416,2 ,0,1
0,1,67 ,0,7.428,11 ,0,0
0,0,68 ,1,7.476,3 ,0,1
0,1,66 ,0,7.53,10 ,0,0
0,0,64 ,0,7.533,11 ,0,1
0,0,65 ,0,7.56,12 ,0,0
0,1,69 ,1,7.56,12 ,1,0
0,0,63 ,0,7.572,13 ,0,0
0,0,67 ,0,7.656,10 ,0,0
0,0,62 ,0,7.656,3 ,0,0
0,1,68 ,0,7.68,7 ,1,0
0,1,67 ,0,7.692,11 ,0,0
0,0,66 ,1,7.7,4 ,1,0
0,1,70 ,0,7.7,1 ,1,0
0,1,69 ,1,7.7,4 ,1,1
0,1,69 ,1,7.704,8 ,0,0
0,0,61 ,1,7.743,14 ,0,0
0,0,68 ,1,7.764,13 ,0,0
0,0,68 ,0,7.788,11 ,0,0
0,1,67 ,1,7.8,13 ,0,0
0,1,66 ,1,7.81,8 ,0,0
0,1,67 ,1,7.848,11 ,0,0
0,0,60 ,0,7.86,9 ,0,0
0,0,69 ,0,7.896,8 ,0,0
0,1,75 ,1,7.912,14 ,0,0
0,1,75 ,1,7.92,1 ,1,1
0,1,68 ,1,7.928,11 ,0,0
0,1,67 ,1,7.956,11 ,0,0
0,0,64 ,0,7.973,11 ,0,1
0,1,66 ,0,7.98,11 ,0,0
0,1,68 ,0,7.992,13 ,0,0
0,1,67 ,0,8.04,12 ,0,0
0,1,68 ,0,8.052,3 ,0,0
0,0,64 ,0,8.065,11 ,0,0
0,1,65 ,0,8.096,16 ,0,0
0,0,68 ,1,8.112,7 ,0,0
0,0,67 ,0,8.136,10 ,0,0
0,0,67 ,1,8.136,11 ,0,1
0,0,59 ,0,8.172,10 ,0,0
0,1,79 ,1,8.196,1 ,0,0
0,1,67 ,1,8.2,13 ,0,0
0,0,67 ,0,8.208,3 ,1,1
0,0,68 ,0,8.229,5 ,0,0
0,0,59 ,0,8.244,13 ,0,0
0,1,70 ,1,8.28,12 ,0,0
0,1,67 ,0,8.292,2 ,0,0
0,1,75 ,0,8.304,1 ,1,1
0,1,77 ,0,8.352,0 ,1,1
0,1,69 ,1,8.4,9 ,0,1
0,1,69 ,1,8.4,13 ,0,0
0,0,61 ,1,8.4,15 ,0,0
0,0,67 ,1,8.4,7 ,0,0
0,1,72 ,0,8.4,9 ,0,1
0,1,69 ,0,8.4,12 ,0,0
0,1,66 ,0,8.4,9 ,1,1
0,0,62 ,1,8.4,13 ,0,0
0,1,67 ,0,8.4,5 ,1,1
0,1,64 ,1,8.408,15 ,0,0
0,0,69 ,1,8.424,7 ,1,1
0,1,72 ,1,8.424,15 ,1,1
0,0,64 ,1,8.424,13 ,0,0
0,0,65 ,0,8.436,13 ,0,0
0,0,65 ,0,8.452,11 ,0,0
0,1,68 ,1,8.457,13 ,0,0
0,0,69 ,0,8.472,0 ,1,1
0,1,68 ,1,8.484,13 ,0,1
0,1,65 ,0,8.544,11 ,1,0
0,0,65 ,0,8.556,13 ,0,0
0,1,67 ,0,8.556,12 ,0,0
0,0,63 ,0,8.58,11 ,0,0
1,0,68 ,0,8.589,15 ,0,0
0,0,59 ,0,8.6,9 ,1,0
0,1,67 ,1,8.676,6 ,0,0
1,1,69 ,0,8.688,3 ,0,0
0,0,69 ,0,8.7,10 ,0,0
0,0,63 ,0,8.712,9 ,0,0
0,1,66 ,1,8.724,15 ,0,0
0,1,75 ,1,8.796,8 ,1,0
0,0,67 ,0,8.797,12 ,0,0
0,1,67 ,0,8.808,10 ,0,0
0,1,64 ,0,8.82,10 ,1,0
0,0,69 ,1,8.82,18 ,0,0
0,0,59 ,0,8.82,12 ,0,0
0,0,66 ,0,8.82,9 ,0,0
0,1,67 ,1,8.856,10 ,0,0
0,0,64 ,0,8.892,9 ,0,0
0,1,68 ,0,8.928,10 ,0,0
0,0,67 ,0,8.94,5 ,1,0
0,1,68 ,0,8.94,6 ,1,1
0,0,58 ,0,8.964,12 ,0,0
0,1,65 ,0,8.976,15 ,0,0
0,1,69 ,1,8.988,3 ,1,1
0,0,68 ,0,8.988,2 ,1,1
0,0,65 ,0,8.996,15 ,0,0
0,1,66 ,1,9,16 ,0,0
1,0,67 ,0,9.03,13 ,1,0
0,1,67 ,1,9.06,8 ,1,0
0,0,76 ,0,9.06,12 ,1,0
0,0,64 ,0,9.06,10 ,1,0
0,1,67 ,1,9.072,5 ,1,1
0,0,68 ,0,9.072,13 ,0,1
0,1,66 ,1,9.084,10 ,0,0
0,0,68 ,1,9.1,10 ,0,0
1,0,70 ,1,9.112,13 ,0,0
0,1,68 ,1,9.12,12 ,0,0
0,0,69 ,1,9.204,8 ,1,1
0,0,65 ,0,9.204,3 ,1,1
0,0,78 ,0,9.208,7 ,1,1
0,0,70 ,1,9.228,12 ,0,0
0,1,62 ,1,9.246,12 ,0,0
0,1,61 ,0,9.256,2 ,1,0
0,1,65 ,0,9.276,12 ,0,0
1,0,63 ,0,9.288,9 ,0,0
0,1,60 ,1,9.3,13 ,0,0
0,0,58 ,0,9.3,13 ,0,0
0,1,69 ,1,9.32,7 ,0,1
0,0,66 ,0,9.324,6 ,1,1
0,0,71 ,0,9.324,5 ,1,1
1,1,67 ,1,9.36,13 ,1,0
0,1,65 ,1,9.392,13 ,0,0
0,0,60 ,0,9.396,5 ,0,0
0,0,63 ,1,9.408,11 ,0,0
0,1,67 ,0,9.408,12 ,0,0
0,1,68 ,0,9.42,9 ,1,0
0,1,76 ,0,9.42,9 ,1,0
0,0,60 ,1,9.436,15 ,0,0
0,1,69 ,1,9.45,13 ,1,1
0,0,59 ,0,9.492,8 ,1,0
0,1,71 ,1,9.504,6 ,1,0
0,1,66 ,1,9.55,14 ,0,0
0,1,68 ,1,9.564,14 ,0,0
0,0,67 ,0,9.564,15 ,0,0
0,0,67 ,1,9.57,9 ,0,0
0,0,66 ,0,9.6,6 ,0,0
0,0,74 ,1,9.6,9 ,1,1
0,0,60 ,1,9.6,6 ,1,0
0,1,64 ,0,9.6,13 ,0,1
0,1,65 ,0,9.6,10 ,1,0
0,0,60 ,1,9.6,9 ,1,0
0,0,61 ,1,9.6,11 ,1,0
0,1,68 ,1,9.6,1 ,1,1
0,0,63 ,0,9.612,9 ,0,0
0,0,60 ,0,9.636,12 ,0,0
0,0,68 ,1,9.64,4 ,1,1
0,0,64 ,1,9.732,11 ,0,0
0,0,62 ,0,9.732,14 ,0,0
0,0,58 ,0,9.768,16 ,0,1
0,0,60 ,0,9.776,12 ,0,0
0,1,65 ,0,9.779,13 ,0,0
0,1,77 ,1,9.78,3 ,1,0
0,0,68 ,0,9.78,10 ,1,0
0,1,65 ,0,9.796,6 ,0,0
0,0,66 ,1,9.8,11 ,0,0
0,1,69 ,1,9.812,13 ,0,0
0,0,66 ,0,9.815,7 ,0,1
0,1,79 ,0,9.898,7 ,1,0
0,1,67 ,1,9.936,9 ,0,0
0,1,66 ,0,9.948,12 ,0,0
0,0,66 ,0,9.972,5 ,1,0
1,0,60 ,1,10,8 ,0,0
0,0,68 ,1,10.044,12 ,0,0
0,0,62 ,0,10.056,11 ,1,0
0,0,64 ,1,10.068,12 ,1,0
0,0,69 ,1,10.076,13 ,0,0
1,1,69 ,1,10.08,13 ,0,0
0,1,66 ,0,10.1,13 ,1,0
0,0,69 ,1,10.104,10 ,0,0
0,0,56 ,0,10.14,9 ,0,0
0,1,68 ,0,10.2,12 ,0,0
0,1,65 ,0,10.224,11 ,0,1
0,1,68 ,0,10.26,13 ,0,0
0,1,69 ,0,10.26,8 ,0,0
1,0,65 ,0,10.272,9 ,0,0
0,1,68 ,0,10.284,13 ,0,0
1,1,68 ,1,10.34,13 ,1,0
1,1,69 ,1,10.344,9 ,0,0
0,1,65 ,1,10.356,14 ,0,1
0,1,66 ,1,10.356,10 ,0,0
0,0,65 ,1,10.392,10 ,0,0
0,1,69 ,1,10.392,11 ,0,1
0,0,68 ,0,10.392,2 ,1,1
0,1,65 ,1,10.409,11 ,0,1
0,1,67 ,0,10.476,10 ,0,0
0,0,67 ,1,10.5,13 ,1,0
0,1,68 ,1,10.5,4 ,0,0
0,1,83 ,0,10.5,10 ,1,0
0,1,68 ,1,10.532,12 ,0,0
0,1,66 ,0,10.56,13 ,0,0
0,0,64 ,0,10.568,8 ,1,1
0,0,68 ,0,10.608,12 ,0,0
0,1,66 ,1,10.621,13 ,0,0
0,1,71 ,0,10.668,11 ,1,0
0,1,67 ,0,10.668,13 ,1,0
0,1,68 ,1,10.68,13 ,0,0
0,1,68 ,1,10.704,13 ,0,0
0,1,82 ,1,10.72,8 ,0,0
0,0,66 ,1,10.744,12 ,0,0
0,0,67 ,1,10.776,12 ,0,0
0,1,67 ,1,10.78,12 ,1,0
1,0,64 ,1,10.788,14 ,0,0
0,0,71 ,0,10.788,0 ,1,1
1,1,72 ,1,10.8,12 ,1,0
0,1,67 ,1,10.8,13 ,1,0
0,1,68 ,1,10.8,14 ,0,0
0,1,67 ,1,10.8,9 ,1,0
0,1,72 ,1,10.824,14 ,0,0
1,1,65 ,1,10.856,15 ,1,0
0,1,66 ,1,10.86,15 ,0,0
0,1,68 ,1,10.872,12 ,0,0
0,1,66 ,1,10.896,8 ,0,0
0,1,66 ,1,10.92,13 ,0,0
1,1,68 ,1,10.92,13 ,0,0
0,1,69 ,0,10.932,11 ,0,0
0,1,71 ,0,10.94,10 ,0,0
0,0,69 ,0,11.028,9 ,0,1
0,0,68 ,0,11.028,7 ,0,0
0,1,76 ,0,11.052,11 ,1,0
0,1,69 ,1,11.1,13 ,0,0
0,0,65 ,0,11.112,9 ,1,0
0,1,67 ,0,11.112,9 ,1,0
0,0,70 ,1,11.172,4 ,1,0
0,0,62 ,0,11.208,6 ,1,0
0,1,67 ,0,11.256,12 ,0,0
0,0,61 ,1,11.296,12 ,1,0
0,1,71 ,1,11.322,9 ,0,0
0,1,69 ,0,11.324,10 ,1,0
0,1,68 ,1,11.324,11 ,1,0
0,0,62 ,0,11.328,11 ,0,0
0,1,66 ,0,11.352,10 ,0,0
0,0,66 ,0,11.364,8 ,0,0
0,1,73 ,0,11.4,13 ,0,0
0,1,71 ,1,11.4,12 ,0,0
0,1,69 ,0,11.4,12 ,0,0
0,1,67 ,1,11.443,13 ,0,0
0,0,74 ,0,11.468,7 ,1,0
0,1,67 ,0,11.468,13 ,1,0
0,0,62 ,0,11.476,9 ,0,0
0,1,65 ,0,11.544,10 ,1,0
0,0,72 ,0,11.544,7 ,1,0
0,0,68 ,1,11.568,17 ,0,0
0,1,72 ,0,11.568,16 ,1,1
0,1,68 ,0,11.58,10 ,0,1
0,0,65 ,1,11.652,11 ,0,0
0,0,60 ,0,11.688,3 ,0,0
0,1,70 ,1,11.7,12 ,0,0
0,0,60 ,1,11.736,13 ,0,0
0,1,66 ,1,11.748,13 ,0,0
0,1,66 ,1,11.76,12 ,1,0
0,1,71 ,1,11.76,13 ,0,0
0,1,68 ,0,11.76,8 ,1,0
0,0,68 ,0,11.76,7 ,0,0
0,1,69 ,0,11.784,12 ,0,0
0,1,66 ,1,11.808,13 ,0,0
0,1,68 ,0,11.836,5 ,1,0
0,1,68 ,0,11.836,12 ,1,0
0,0,64 ,1,11.856,5 ,1,1
0,1,65 ,1,11.88,12 ,1,0
0,0,61 ,0,11.916,8 ,1,0
0,0,65 ,0,11.946,4 ,1,0
0,0,58 ,0,11.952,17 ,0,0
0,0,67 ,0,11.96,5 ,0,0
0,1,59 ,1,11.964,10 ,1,0
0,0,69 ,0,11.964,13 ,1,0
0,1,73 ,1,11.978,12 ,0,0
0,1,65 ,1,12,13 ,1,0
0,0,65 ,0,12,3 ,1,0
0,0,64 ,1,12,7 ,1,0
0,1,67 ,1,12,7 ,0,0
0,0,65 ,0,12.024,9 ,1,0
0,1,69 ,1,12.036,11 ,0,0
1,1,69 ,0,12.056,15 ,1,1
0,1,60 ,0,12.056,15 ,1,0
0,1,73 ,0,12.096,10 ,1,0
0,0,68 ,1,12.096,8 ,1,0
0,0,65 ,1,12.1,12 ,0,0
0,0,62 ,0,12.12,13 ,1,0
0,1,65 ,0,12.144,11 ,1,0
1,1,67 ,0,12.144,13 ,0,0
0,1,68 ,1,12.148,12 ,0,0
0,0,68 ,1,12.148,9 ,1,0
0,1,68 ,1,12.148,12 ,1,0
0,0,63 ,0,12.156,12 ,0,0
0,0,65 ,0,12.156,13 ,1,0
1,0,69 ,1,12.172,12 ,0,0
0,1,64 ,1,12.192,12 ,1,0
0,0,71 ,0,12.204,13 ,1,0
1,1,69 ,1,12.216,15 ,1,0
0,0,60 ,0,12.224,12 ,0,0
0,1,81 ,0,12.24,3 ,1,1
0,0,62 ,0,12.307,11 ,0,0
0,1,68 ,1,12.332,11 ,0,0
0,0,66 ,1,12.336,10 ,0,0
0,1,69 ,1,12.344,17 ,0,0
0,0,63 ,0,12.36,10 ,1,0
0,1,69 ,1,12.36282,13 ,1,0
0,1,66 ,0,12.36282,9 ,1,0
1,1,72 ,1,12.4,12 ,1,0
0,1,69 ,1,12.432,9 ,0,0
0,0,70 ,1,12.432,8 ,1,0
0,1,66 ,1,12.432,7 ,1,0
0,1,65 ,0,12.451,10 ,0,0
0,0,66 ,1,12.468,13 ,0,0
0,1,74 ,0,12.572,2 ,1,1
0,1,65 ,0,12.576,12 ,1,0
0,1,69 ,0,12.6,16 ,1,0
0,1,59 ,0,12.6,2 ,0,0
0,0,67 ,1,12.6,8 ,1,0
0,1,65 ,0,12.6,12 ,1,0
0,0,66 ,1,12.6,8 ,1,0
0,0,66 ,1,12.608,10 ,0,0
0,0,60 ,0,12.636,10 ,0,1
0,0,68 ,0,12.684,10 ,1,0
